intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
1,6.2,0.5,3.1,5.899207865080875,41.30189604356394,46.05555555555556,14.878295742084482,31.177259813471075
1,6.2,0.8,4.960000000000001,5.899207865080875,16.449441874821616,18.083333333333332,8.977219281532955,9.106114051800377
1,6.2,1.2,7.4399999999999995,5.899207865080875,2.4491178617562546,-19.0,-14.653636733943479,4.346363266056521
1,6.2,1.5,9.3,5.899207865080875,4.980519267614576,-46.166666666666664,-42.44966331453816,3.7170033521285077
2,4.8,0.5,2.4,8.94118465035814,30.6753491621481,35.27777777777778,11.918603527009445,23.359174250768334
2,4.8,0.8,3.84,8.94118465035814,15.652758762930965,14.083333333333334,5.273557560886549,8.809775772446784
2,4.8,1.2,5.76,8.94118465035814,9.563046422741406,-14.777777777777779,-8.194833333349294,6.582944444428485
2,4.8,1.5,7.199999999999999,8.94118465035814,17.663973679425517,-35.833333333333336,-24.46656339184089,11.366769941492446
3,6.7,0.5,3.35,2.8947541591659127,22.3221764585393,51.166666666666664,33.89490755346364,17.271759113203025
3,6.7,0.8,5.36,2.8947541591659127,4.073705794290696,20.944444444444443,18.941173152243213,2.00327129220123
3,6.7,1.2,8.04,2.8947541591659127,7.332837730441363,-20.166666666666668,-20.061692036241126,0.10497463042554145
3,6.7,1.5,10.05,2.8947541591659127,17.34155528692223,-46.638888888888886,-49.37429337688016,2.735404487991275
4,4.8,0.5,2.4,6.049918397071545,32.2518235333576,36.05555555555556,13.772065982692887,22.28348957286267
4,4.8,0.8,3.84,6.049918397071545,15.326450617367984,15.25,6.783754616083402,8.466245383916597
4,4.8,1.2,5.76,6.049918397071545,6.476206206370219,-14.333333333333334,-8.838285378945384,5.49504795438795
4,4.8,1.5,7.199999999999999,6.049918397071545,11.534571475473623,-35.55555555555556,-23.683034225919165,11.872521329636392
5,5.2,0.5,2.6,2.8713149470951973,31.95850522303685,38.888888888888886,13.039837331701003,25.849051557187884
5,5.2,0.8,4.16,2.8713149470951973,11.598121445357982,15.38888888888889,7.165575435693695,8.223313453195194
5,5.2,1.2,6.24,2.8713149470951973,3.6723256457535047,-14.944444444444445,-11.765531368231212,3.1789130762132327
